time		# end of interval
z	[m]	# height
speed	[m/s]	# wind speed
dir	[deg]	# wind direction
U	[m/s]	# wind U
V	[m/s]	# wind V
W	[m/s]	# wind W
sigW	[m/s]	# sigma W
bck		# backscatter
T	[deg C]	# temperature
error		# error code

time	z	speed	dir	U	V	W	sigW	bck	T	error
2025-03-03 00:20:00	30	5.93	37.0	-5.78	-1.33	-0.12	0.32	3.70E+06	*	0
2025-03-03 00:20:00	40	5.85	33.6	-5.61	-1.65	-0.01	0.40	1.92E+06	*	0
2025-03-03 00:20:00	50	6.79	32.4	-6.47	-2.05	0.15	0.45	1.69E+06	*	0
2025-03-03 00:20:00	60	6.69	35.3	-6.48	-1.70	0.27	0.51	9.36E+05	*	0
2025-03-03 00:20:00	70	7.08	36.5	-6.88	-1.66	0.31	0.56	9.31E+05	*	0
2025-03-03 00:20:00	80	7.29	36.4	-7.09	-1.71	0.31	0.61	6.08E+05	*	0
2025-03-03 00:20:00	90	7.36	35.4	-7.12	-1.86	0.35	0.59	5.41E+05	*	0
2025-03-03 00:20:00	100	7.29	34.0	-7.01	-2.01	0.36	0.63	4.80E+05	*	0
2025-03-03 00:20:00	110	7.28	34.0	-7.00	-2.00	0.43	0.64	4.08E+05	*	0
2025-03-03 00:20:00	120	7.35	33.5	-7.05	-2.09	0.45	0.66	4.00E+05	*	0
2025-03-03 00:20:00	130	7.61	32.8	-7.27	-2.25	0.49	0.69	3.20E+05	*	0
2025-03-03 00:20:00	140	7.76	30.9	-7.33	-2.53	0.56	0.74	3.03E+05	*	0
2025-03-03 00:20:00	150	7.76	31.2	-7.35	-2.50	0.63	0.75	2.99E+05	*	0
2025-03-03 00:20:00	160	7.70	32.2	-7.33	-2.36	0.64	0.83	2.65E+05	*	0
2025-03-03 00:20:00	170	7.67	33.9	-7.37	-2.13	0.64	0.86	2.29E+05	*	0
2025-03-03 00:20:00	180	7.78	34.2	-7.49	-2.11	0.57	0.91	2.13E+05	*	0
2025-03-03 00:20:00	190	7.82	36.0	-7.58	-1.89	0.52	0.91	2.06E+05	*	0
2025-03-03 00:20:00	200	7.92	36.0	-7.69	-1.92	0.48	0.95	2.17E+05	*	0
2025-03-03 00:20:00	210	7.98	36.6	-7.76	-1.85	0.48	0.95	2.12E+05	*	0
2025-03-03 00:20:00	220	8.09	36.3	-7.86	-1.92	0.49	0.95	2.05E+05	*	0
2025-03-03 00:20:00	230	8.24	36.5	-8.01	-1.92	0.46	0.89	2.14E+05	*	0
2025-03-03 00:20:00	240	8.41	35.5	-8.14	-2.11	0.55	0.85	1.77E+05	*	0
2025-03-03 00:20:00	250	8.62	34.1	-8.29	-2.35	0.58	0.83	1.93E+05	*	0
2025-03-03 00:20:00	260	8.74	33.1	-8.37	-2.54	0.68	0.82	2.07E+05	*	0
2025-03-03 00:20:00	270	8.70	33.4	-8.33	-2.49	0.60	0.77	2.17E+05	*	0
2025-03-03 00:20:00	280	8.53	34.2	-8.21	-2.32	0.59	0.78	2.24E+05	*	0
2025-03-03 00:20:00	290	8.73	33.0	-8.34	-2.56	0.59	0.75	1.87E+05	*	0
2025-03-03 00:20:00	300	8.82	34.2	-8.49	-2.41	0.65	0.74	2.11E+05	*	0
2025-03-03 00:20:00	310	9.06	33.8	-8.70	-2.53	0.68	0.71	2.02E+05	*	0
2025-03-03 00:20:00	320	8.93	35.3	-8.64	-2.27	0.70	0.64	2.03E+05	*	0
2025-03-03 00:20:00	330	9.19	33.4	-8.80	-2.62	0.73	0.60	2.13E+05	*	0
2025-03-03 00:20:00	340	9.20	32.3	-8.76	-2.80	0.72	0.61	2.90E+05	*	0
2025-03-03 00:20:00	350	9.26	32.4	-8.82	-2.80	0.73	0.63	2.08E+05	*	0
2025-03-03 00:20:00	360	9.21	32.9	-8.80	-2.70	0.76	0.65	2.12E+05	*	0
2025-03-03 00:20:00	370	9.41	35.3	-9.11	-2.38	0.88	0.72	2.35E+05	*	0
2025-03-03 00:20:00	380	9.46	36.5	-9.20	-2.20	0.91	0.71	2.32E+05	*	0
2025-03-03 00:20:00	390	9.42	38.1	-9.22	-1.95	0.93	0.71	1.98E+05	*	0
2025-03-03 00:20:00	400	9.33	37.6	-9.12	-2.00	0.83	0.76	2.20E+05	*	0
2025-03-03 00:20:00	410	9.46	37.9	-9.25	-1.98	0.77	0.83	1.73E+05	*	0
2025-03-03 00:20:00	420	9.87	37.8	-9.65	-2.08	0.70	0.82	1.69E+05	*	0
2025-03-03 00:20:00	430	10.01	38.5	-9.81	-1.99	0.71	0.88	1.64E+05	*	0
2025-03-03 00:20:00	440	10.36	38.3	-10.14	-2.10	0.78	0.90	*	*	0
2025-03-03 00:20:00	450	10.08	38.8	-9.88	-1.96	0.85	0.94	*	*	0
2025-03-03 00:20:00	460	10.01	38.3	-9.80	-2.03	0.87	0.85	*	*	0
2025-03-03 00:20:00	470	9.80	38.5	-9.60	-1.96	0.76	0.88	*	*	0
2025-03-03 00:20:00	480	10.04	36.5	-9.76	-2.35	0.65	0.91	*	*	0
2025-03-03 00:20:00	490	10.14	36.0	-9.84	-2.45	0.64	0.93	*	*	0
2025-03-03 00:20:00	500	10.10	35.2	-9.77	-2.57	0.67	0.83	*	*	0
2025-03-03 00:40:00	30	3.26	39.0	-3.20	-0.62	0.04	0.20	4.80E+06	*	0
2025-03-03 00:40:00	40	3.78	37.7	-3.69	-0.80	0.00	0.22	2.05E+06	*	0
2025-03-03 00:40:00	50	3.71	39.6	-3.65	-0.67	-0.05	0.24	1.75E+06	*	0
2025-03-03 00:40:00	60	3.38	34.5	-3.25	-0.90	-0.05	0.26	1.27E+06	*	0
